iter	Logloss
0	0.5064239608
1	0.4429588738
2	0.4043422436
3	0.3581576868
4	0.3391886239
5	0.327219633
6	0.3241168691
7	0.3127039753
8	0.3038658743
9	0.2992138554
10	0.2964504124
11	0.2961697408
12	0.2928137875
13	0.2882556747
14	0.2846088043
15	0.2826376788
16	0.2757911147
17	0.2727120236
18	0.2718709903
19	0.2644497971
20	0.264371697
21	0.2590351839
22	0.2545259299
23	0.251857692
24	0.2476855596
25	0.2461460559
26	0.2436322581
27	0.2409655635
28	0.2373457905
29	0.2371987026
30	0.2354856924
31	0.2339708111
32	0.2317665759
33	0.2300124658
34	0.224886381
35	0.2222629059
36	0.2203596909
37	0.2182919849
38	0.2162640283
39	0.2134434897
40	0.2121102898
41	0.2118276777
42	0.2108511565
43	0.2097373895
44	0.2075338247
45	0.2049408645
46	0.2036184592
47	0.2025770986
48	0.2021096927
49	0.199948324
50	0.19762236
51	0.1960977997
52	0.1945008562
53	0.1926127138
54	0.1902607038
55	0.1871589344
56	0.1850035603
57	0.1835545982
58	0.1813829265
59	0.1794490536
60	0.1772932344
61	0.1751956104
62	0.1735356297
63	0.1722817831
64	0.172197838
65	0.169760195
66	0.1682107284
67	0.1668069497
68	0.1654387649
69	0.1640917702
70	0.1637015867
71	0.1636640005
72	0.1624080853
73	0.1597840157
74	0.1565588657
75	0.155264823
76	0.1548289868
77	0.1536562854
78	0.152473457
79	0.1509139327
80	0.1495891653
81	0.1482794549
82	0.1471860021
83	0.1452696452
84	0.1440229124
85	0.1434611228
86	0.1417115072
87	0.1409086464
88	0.1384357596
89	0.1362286924
90	0.1353599265
91	0.133546557
92	0.133529426
93	0.1315634432
94	0.1305725651
95	0.1299985486
96	0.1289181152
97	0.127976945
98	0.1273049739
99	0.1263740686
