iter	Passed	Remaining
0	4	428
1	9	454
2	14	467
3	18	451
4	22	431
5	28	439
6	32	426
7	36	415
8	42	426
9	46	421
10	51	418
11	56	415
12	61	413
13	66	408
14	71	405
15	76	399
16	81	396
17	86	392
18	90	384
19	94	377
20	98	369
21	102	362
22	106	355
23	110	349
24	114	343
25	118	338
26	125	340
27	130	334
28	135	330
29	140	328
30	145	324
31	150	320
32	155	315
33	160	311
34	165	306
35	170	302
36	174	297
37	179	293
38	184	287
39	192	288
40	201	289
41	206	284
42	211	280
43	215	274
44	219	268
45	224	262
46	229	258
47	233	253
48	238	248
49	242	242
50	248	238
51	253	233
52	258	228
53	262	223
54	266	218
55	271	212
56	275	207
57	280	202
58	285	198
59	289	193
60	299	191
61	306	188
62	311	183
63	315	177
64	319	172
65	324	167
66	328	161
67	332	156
68	336	151
69	340	146
70	345	140
71	349	135
72	353	130
73	357	125
74	362	120
75	367	115
76	372	111
77	377	106
78	382	101
79	386	96
80	391	91
81	395	86
82	399	81
83	403	76
84	407	71
85	410	66
86	414	61
87	418	57
88	423	52
89	427	47
90	431	42
91	435	37
92	438	33
93	442	28
94	446	23
95	451	18
96	455	14
97	460	9
98	464	4
99	468	0
